country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,year,region
Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2016,Central and Eastern Europe
Belarus,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2016,Commonwealth of Independent States
North Cyprus,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,2016,Western Europe
Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,2016,Central and Eastern Europe
Peru,5.743,0.99602,0.81255,0.62994000000000006,0.37502,0.05292,0.14527,2016,Latin America and Caribbean
Turkmenistan,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2016,Commonwealth of Independent States
Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2016,Sub-Saharan Africa
Libya,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2016,Middle East and North Africa
Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2016,Central and Eastern Europe
Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2016,Western Europe
Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2016,Latin America and Caribbean
Romania,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2016,Central and Eastern Europe
Estonia,5.517,1.2796400000000001,1.05163,0.68098,0.41511,0.18519,0.08423,2016,Central and Eastern Europe
Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2016,Latin America and Caribbean
Croatia,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2016,Central and Eastern Europe
Hong Kong,5.458,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,2016,NA
Somalia,5.44,0,0.33613,0.11466,0.56778,0.3118,0.27225,2016,NA
Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2016,Central and Eastern Europe
Turkey,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2016,Middle East and North Africa
Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2016,Southeast Asia
Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2016,Middle East and North Africa
Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2016,Commonwealth of Independent States
Philippines,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2016,Southeast Asia
China,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2016,East Asia
Bhutan,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,2016,NA
Kyrgyzstan,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2016,Commonwealth of Independent States
